Date,Close/Last,Volume,Open,High,Low
09/10/2024,$162.43,11910830,$162.89,$162.89,$157.6931
09/09/2024,$162.78,10339020,$160.76,$163.10,$160.25
09/06/2024,$156.82,14964410,$164.89,$165.4053,$156.01
09/05/2024,$163.70,10260580,$161.54,$164.59,$161.05
09/04/2024,$160.87,11317390,$159.30,$163.88,$158.95
09/03/2024,$160.49,18464360,$168.00,$168.679,$159.80
08/30/2024,$171.70,9481403,$170.055,$172.23,$168.75
08/29/2024,$169.15,13213190,$168.65,$175.42,$167.51
08/28/2024,$169.20,10581370,$171.32,$172.465,$166.20
08/27/2024,$170.55,9186041,$166.42,$170.58,$165.04
08/26/2024,$169.07,9611328,$170.38,$171.05,$167.82
08/23/2024,$171.28,12189130,$169.00,$173.29,$167.915
08/22/2024,$166.44,13546120,$172.00,$173.28,$166.06
08/21/2024,$171.44,9434811,$170.36,$173.08,$169.91
08/20/2024,$172.04,13555530,$175.40,$175.40,$169.85
08/19/2024,$175.45,11510990,$174.76,$175.45,$171.10
08/16/2024,$174.54,10709970,$173.39,$175.00,$172.25
08/15/2024,$173.96,15393530,$172.43,$175.44,$170.82
08/14/2024,$169.97,11510310,$171.88,$172.51,$167.19
08/13/2024,$172.34,15243470,$168.00,$172.45,$166.34
08/12/2024,$167.63,14727280,$166.00,$169.53,$165.54
08/09/2024,$167.12,20519410,$166.32,$167.80,$163.24
08/08/2024,$164.55,18889640,$159.27,$164.75,$155.54
08/07/2024,$155.04,22379010,$161.55,$162.65,$154.52
08/06/2024,$155.39,24528070,$150.44,$157.71,$147.72
08/05/2024,$147.95,31193150,$133.86,$150.00,$133.57
08/02/2024,$149.86,31095270,$151.25,$153.86,$146.89
08/01/2024,$158.18,21095640,$163.48,$167.665,$156.84
07/31/2024,$165.80,19860380,$163.77,$166.65,$162.07
07/30/2024,$154.54,22017960,$160.44,$161.1499,$152.55
07/29/2024,$160.01,12663080,$162.68,$163.23,$158.63
07/26/2024,$161.94,13089170,$164.30,$164.59,$159.19
07/25/2024,$160.28,25731750,$158.16,$163.40,$152.11
07/24/2024,$159.80,19536580,$165.09,$165.45,$159.59
07/23/2024,$169.82,11690670,$169.42,$171.54,$167.9666
07/22/2024,$169.35,21037200,$166.61,$170.88,$166.18
